Age report
1 January 2025 - 6 March 2026
Demographic status,Age,Campaign,Ad group,Status,Bid adj.,Currency code,TrueView avg. CPV,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,45 - 54,(#2) Website traffic-Search (Phil),Ad group #2 (Keywords (Zero Waste),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,(#2) Website traffic-Search (Phil),Ad group #1 (Keywords: Lesson Plans),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,(#2) Website traffic-Search (Phil),Ad group #1 (Keywords: Lesson Plans),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,(#2) Website traffic-Search (Phil),Ad group #2 (Keywords (Zero Waste),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,(#2) Website traffic-Search (Phil),Ad group #2 (Keywords (Zero Waste),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,(#2) Website traffic-Search (Phil),Ad group #2 (Keywords (Zero Waste),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,(#2) Website traffic-Search (Phil),Ad group #1 (Keywords: Lesson Plans),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,(#2) Website traffic-Search (Phil),Ad group #2 (Keywords (Zero Waste),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,(#2) Website traffic-Search (Phil),Ad group #1 (Keywords: Lesson Plans),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,(#2) Website traffic-Search (Phil),Ad group #1 (Keywords: Lesson Plans),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,(#2) Website traffic-Search (Phil),Ad group #2 (Keywords (Zero Waste),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,(#2) Website traffic-Search (Phil),Ad group #1 (Keywords: Lesson Plans),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,(#2) Website traffic-Search (Phil),Ad group #1 (Keywords: Lesson Plans),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,(#2) Website traffic-Search (Phil),Ad group #2 (Keywords (Zero Waste),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,06-08-25-Performance Max India #2, --,Ad group not complete, --,THB,0.09,"653,646","98,540",15.08%,0.05,4488.28,65.11%,"64,163.72",0.07
Enabled,65+,(#4) Website traffic-Search (India),Ad group #2 (Keywords (Zero Waste),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,(#4) Website traffic-Search (India),Ad group #2 (Keywords (Zero Waste),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,(#4) Website traffic-Search (India),Ad group #2 (Keywords (Zero Waste),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,(#4) Website traffic-Search (India),Ad group #1 (Keywords: Lesson Plans),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,(#4) Website traffic-Search (India),Ad group #1 (Keywords: Lesson Plans),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,(#4) Website traffic-Search (India),Ad group #1 (Keywords: Lesson Plans),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
