Gender report
1 January 2025 - 6 March 2026
Demographic status,Gender,Campaign,Ad group,Status,Bid adj.,Currency code,TrueView avg. CPV,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,Female,(#3) Website traffic-Search (India),Ad group #2 (Keywords (Zero Waste),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,(#3) Website traffic-Search (India),Ad group #2 (Keywords (Zero Waste),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Male,(#3) Website traffic-Search (India),Ad group #1 (Keywords: Lesson Plans),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Male,(#3) Website traffic-Search (India),Ad group #2 (Keywords (Zero Waste),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,(#3) Website traffic-Search (India),Ad group #1 (Keywords: Lesson Plans),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,(#3) Website traffic-Search (India),Ad group #1 (Keywords: Lesson Plans),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,04-09-25-Performance Max South Africa, --,Ad group not complete, --,THB,0.18,"186,793","20,483",10.97%,0.24,4873.37,70.09%,"14,357.22",0.34
Enabled,Male,04-09-25-Performance Max South Africa, --,Ad group not complete, --,THB,0.06,"70,956","8,544",12.04%,0.19,1655.95,56.54%,"4,830.61",0.34
Enabled,Unknown,04-09-25-Performance Max South Africa, --,Ad group not complete, --,THB,0.08,"121,589","63,575",52.29%,0.06,3654.34,12.11%,"7,700.17",0.47
Enabled,Female,(#4) Website traffic-Search (India),Ad group #1 (Keywords: Lesson Plans),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Male,(#4) Website traffic-Search (India),Ad group #1 (Keywords: Lesson Plans),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,(#4) Website traffic-Search (India),Ad group #2 (Keywords (Zero Waste),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Male,(#4) Website traffic-Search (India),Ad group #2 (Keywords (Zero Waste),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,(#4) Website traffic-Search (India),Ad group #2 (Keywords (Zero Waste),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,(#4) Website traffic-Search (India),Ad group #1 (Keywords: Lesson Plans),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Male,(#2) Website traffic-Search (Phil),Ad group #2 (Keywords (Zero Waste),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,(#2) Website traffic-Search (Phil),Ad group #2 (Keywords (Zero Waste),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Male,(#2) Website traffic-Search (Phil),Ad group #1 (Keywords: Lesson Plans),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,(#2) Website traffic-Search (Phil),Ad group #1 (Keywords: Lesson Plans),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,(#2) Website traffic-Search (Phil),Ad group #2 (Keywords (Zero Waste),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,(#2) Website traffic-Search (Phil),Ad group #1 (Keywords: Lesson Plans),Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Male,04-09-25-Performance Max Spain, --,Ad group not complete, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Male,04-08-25-Performance Max Brazil, --,Ad group not complete, --,THB,0.10,"3,027",184,6.08%,0.34,63.01,70.11%,129.00,0.49
Enabled,Female,04-08-25-Performance Max Brazil, --,Ad group not complete, --,THB,0.09,"4,239",157,3.70%,0.38,59.91,66.24%,104.00,0.58
Enabled,Female,04-09-25-Performance Max Spain, --,Ad group not complete, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,04-08-25-Performance Max India, --,Ad group not complete, --,THB,0.16,"17,568","2,071",11.79%,0.05,94.95,75.34%,"1,560.37",0.06
Enabled,Unknown,04-09-25-Performance Max Spain, --,Ad group not complete, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,04-08-25-Performance Max India, --,Ad group not complete, --,THB,0,"12,038","1,427",11.85%,0.05,69.98,72.27%,"1,031.30",0.07
Enabled,Unknown,04-08-25-Performance Max Brazil, --,Ad group not complete, --,THB,0.08,"22,329","1,862",8.34%,0.11,211.04,18.47%,344.00,0.61
Enabled,Male,04-08-25-Performance Max India, --,Ad group not complete, --,THB,0.09,"62,650","6,935",11.07%,0.04,308.43,78.65%,"5,454.42",0.06
Enabled,Unknown,03-07-25-Performance Max Phillippines, --,Ad group not complete, --,THB,0.02,"1,620,511","858,678",52.99%,0.01,12858.17,14.97%,"128,541.33",0.10
Enabled,Female,03-07-25-Performance Max Phillippines, --,Ad group not complete, --,THB,0.02,"724,150","91,483",12.63%,0.07,6602.78,73.73%,"67,447.29",0.10
Enabled,Male,03-07-25-Performance Max Phillippines, --,Ad group not complete, --,THB,0.02,"381,830","49,303",12.91%,0.06,3015.44,65.76%,"32,422.87",0.09
Enabled,Unknown,(#2) Test Video Philippines,In-Market,Campaign removed, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,(#2) Test Video Philippines,In-Market,Campaign removed, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Male,(#2) Test Video Philippines,Keywords,Campaign removed, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,(#2) Test Video Philippines,Keywords,Campaign removed, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,(#2) Test Video Philippines,Custom Audience,Campaign removed, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Male,(#2) Test Video Philippines,In-Market,Campaign removed, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,(#2) Test Video Philippines,Keywords,Campaign removed, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Male,(#2) Test Video Philippines,Custom Audience,Campaign removed, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,(#2) Test Video Philippines,Custom Audience,Campaign removed, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Male,Video Consideration - 2023-10-04,Video Consideration - 2023-10-04,Campaign removed, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,Video Consideration - 2023-10-04,Video Consideration - 2023-10-04,Campaign removed, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,Video Consideration - 2023-10-04,Video Consideration - 2023-10-04,Campaign removed, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,06-08-25-Performance Max India #2, --,Ad group not complete, --,THB,0.09,"482,686","74,324",15.40%,0.04,3312.71,65.18%,"48,445.88",0.07
Enabled,Unknown,(#1) Video Ad - India - 2023-10-04,Custom Audience,Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,(#1) Video Ad - India - 2023-10-04,Keywords,Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Male,(#1) Video Ad - India - 2023-10-04,In-Market,Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Male,(#1) Video Ad - India - 2023-10-04,Keywords,Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,(#1) Video Ad - India - 2023-10-04,Keywords,Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
