Parental status report
1 January 2025 - 6 March 2026
Demographic status,Parental status,Campaign,Ad group,Status,Bid adj.,Currency code,TrueView avg. CPV,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,Not a parent,04-09-25-Performance Max France, --,Ad group not complete, --,THB,0.07,"87,782","2,668",3.04%,0.77,2057.76,60.96%,"1,626.33",1.27
Enabled,Parent,04-09-25-Performance Max France, --,Ad group not complete, --,THB,0.12,"24,861",772,3.11%,1.56,1205.99,65.16%,503.00,2.40
Enabled,Unknown,04-09-25-Performance Max France, --,Ad group not complete, --,THB,0.42,"340,234","6,642",1.95%,0.67,4448.95,69.78%,"4,634.67",0.96
Enabled,Parent,(#1) Video Ad - India - 2023-10-04,Keywords,Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Not a parent,06-08-25-Performance Max India #2, --,Ad group not complete, --,THB,0.11,"772,137","127,022",16.45%,0.04,5516.46,63.20%,"80,274.15",0.07
Enabled,Unknown,(#1) Video Ad - India - 2023-10-04,Custom Audience,Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,(#1) Video Ad - India - 2023-10-04,In-Market,Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,(#1) Video Ad - India - 2023-10-04,Keywords,Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Parent,(#1) Video Ad - India - 2023-10-04,In-Market,Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Parent,(#1) Video Ad - India - 2023-10-04,Custom Audience,Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Not a parent,(#1) Video Ad - India - 2023-10-04,Custom Audience,Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Parent,06-08-25-Performance Max India #2, --,Ad group not complete, --,THB,0.08,"699,788","108,615",15.52%,0.05,4966.09,65.89%,"71,571.24",0.07
Enabled,Unknown,06-08-25-Performance Max India #2, --,Ad group not complete, --,THB,0.03,"1,649,862","554,932",33.64%,0.02,11737.14,27.34%,"151,696.52",0.08
Enabled,Not a parent,(#1) Video Ad - India - 2023-10-04,In-Market,Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Not a parent,(#1) Video Ad - India - 2023-10-04,Keywords,Campaign paused, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Not a parent,04-09-25-Performance Max South Africa, --,Ad group not complete, --,THB,0.06,"96,499","10,568",10.95%,0.17,1804.01,46.02%,"4,862.95",0.37
Enabled,Unknown,04-09-25-Performance Max South Africa, --,Ad group not complete, --,THB,0.08,"224,658","74,378",33.11%,0.09,6477.38,22.31%,"16,590.87",0.39
Enabled,Parent,04-09-25-Performance Max South Africa, --,Ad group not complete, --,THB,0.21,"58,181","7,656",13.16%,0.25,1902.27,70.98%,"5,434.19",0.35
Enabled,Unknown,03-07-25-Performance Max Phillippines, --,Ad group not complete, --,THB,0.02,"2,275,716","934,129",41.05%,0.02,18797.86,20.96%,"195,749.25",0.10
Enabled,Not a parent,03-07-25-Performance Max Phillippines, --,Ad group not complete, --,THB,0.02,"262,449","41,738",15.90%,0.05,2161.99,44.32%,"18,497.94",0.12
Enabled,Parent,04-09-25-Performance Max Spain, --,Ad group not complete, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Parent,03-07-25-Performance Max Phillippines, --,Ad group not complete, --,THB,0.02,"188,345","23,609",12.53%,0.06,1516.68,60.00%,"14,164.30",0.11
Enabled,Not a parent,04-09-25-Performance Max Spain, --,Ad group not complete, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,04-09-25-Performance Max Spain, --,Ad group not complete, --,THB,0,0,0, --,0,0.00,0.00%,0.00,0.00
