# ----------------------------------------
# User acquisition: First user primary channel group (Default channel group)
# Account: Waste Hero 
# Property: Waste Hero 
# ----------------------------------------
# 
# All Users
# Start date: 20230101
# End date: 20260306
First user source / medium,Total users,New users,Returning users,Average engagement time per active user,Engaged sessions per active user,Event count,Key events,User key event rate
google / cpc,592405,0,40620,0.5531192820497196,0.33097717813176525,846972,7333,0.007633807441862039
(direct) / (none),68345,0,8109,10.320722912757974,0.21310682457786118,199866,14670,0.04543855534709193
l.facebook.com / referral,59314,0,2163,0.42726843578244594,0.04786391071247935,112923,240,0.000792393026941363
m.facebook.com / referral,14493,0,409,0.16297522942109985,0.0188366797764438,23630,74,0.0020699648105982197
(data not available),10226,0,1054,0.24496381771953843,0.6557793858791316,25504,54,0.0021513788382554275
(Porvir) Social Media Posts / (Porvir) Social Media Posts,9164,0,192,5.654735923177651,0.1204714098646879,12713,2050,0.055761676123963336
google / organic,5020,0,731,22.07471607890018,0.5849770870691373,13812,4338,0.17553297469615461
ShareMyLesson Campaign / ShareMyLesson Campaign,3926,0,49,2.2233825776872136,0.141365257259297,5073,538,0.032093734080489045
(NEA) Ad Campaign / (NEA) Ad Campaign,3603,0,272,9.988888888888889,0.4191666666666667,6651,1504,0.14166666666666666
lm.facebook.com / referral,1910,0,54,1.8806282722513088,0.08638743455497382,2747,16,0.005235602094240838
NEA Ads / Social Media,1682,0,153,3.9946460440214158,0.3587150505651398,2662,212,0.055324211778703156
Porvir / email,828,0,95,47.427536231884055,0.8031400966183575,2950,1661,0.40096618357487923
qr-codes.io / referral,625,0,94,11.200320512820513,0.5144230769230769,1295,198,0.19230769230769232
instagram.com / referral,611,0,15,1.0703764320785598,0.022913256955810146,1242,3,0.0032733224222585926
Mariana Teran (Social Media) / influencer promotion,579,0,39,6.471502590673575,0.44559585492227977,990,124,0.07599309153713299
youtube.com / referral,526,0,78,12.549429657794677,0.5114068441064639,1362,155,0.08935361216730038
leadsgo.io / referral,508,0,0,0,1.0019685039370079,1016,0,0
bing / organic,399,0,68,44.82957393483709,0.9774436090225563,2618,1667,0.2556390977443609
l.instagram.com / referral,329,0,18,4.313069908814589,0.26443768996960487,826,20,0.0182370820668693
Gam Facebook / Gam Facebook,238,0,13,11.554621848739496,0.6302521008403361,462,130,0.14285714285714285
Maria Lynn (Social Media) / influencer promotion,200,0,8,0.45,0.125,395,6,0.02
LinkedIn / Content,188,0,3,1.0691489361702127,0.06382978723404255,208,10,0.02127659574468085
hs_email / email,179,0,1,0.3575418994413408,0.3687150837988827,257,11,0.0111731843575419
Facebook Ad / affiliate promotion,172,0,6,3.11046511627907,0.1744186046511628,233,0,0
urlumbrella.com / referral,167,0,0,687.0239520958083,0,6930,0,0
facebook.com / referral,165,0,1,0,0.19393939393939394,221,0,0
yunus-thailand.org / referral,157,0,28,18.471337579617835,0.9681528662420382,385,93,0.2229299363057325
qr.page / referral,151,0,18,4.397350993377484,0.271523178807947,344,43,0.0728476821192053
Gam Instagram / Gam Instagram,149,0,3,24.140939597315437,0.6845637583892618,456,198,0.2550335570469799
sustainability.indoramaventures.com / referral,146,0,16,16.15753424657534,0.7397260273972602,461,215,0.2671232876712329
seameoseps.org / referral,137,0,17,19.087591240875913,0.7737226277372263,362,161,0.19708029197080293
Rappler (Ads) / Rappler (Ads),132,0,3,0.9015151515151515,0.20454545454545456,153,4,0.015151515151515152
mail.google.com / referral,117,0,34,39.56410256410256,1.0427350427350428,675,169,0.24786324786324787
linkedin.com / referral,113,0,15,5.646017699115045,0.39823008849557523,255,49,0.12389380530973451
IVL / promotion,98,0,17,8.83673469387755,0.4387755102040816,212,19,0.10204081632653061
statics.teams.cdn.office.net / referral,78,0,15,14.448717948717949,0.6410256410256411,260,73,0.21794871794871795
napcor.com / referral,68,0,8,25.66176470588235,0.8382352941176471,151,66,0.3382352941176471
Prof Yunus (Social Media) / influencer promotion,66,0,12,17.242424242424242,0.5454545454545454,169,48,0.18181818181818182
MPU / affiliate promotion,50,0,1,0,0.12,64,0,0
chatgpt.com / referral,49,0,9,19.591836734693878,0.8775510204081632,141,62,0.3673469387755102
yahoo / organic,47,0,10,159.53191489361703,1.3617021276595744,1956,1333,0.3404255319148936
nea.org / referral,38,0,10,50.8421052631579,1.0263157894736843,182,104,0.42105263157894735
BMA Campaign / BMA Campaign,36,0,10,58.138888888888886,0.8055555555555556,138,50,0.3333333333333333
event.on24.com / referral,36,0,1,0,0.2777777777777778,45,0,0
ecosia.org / organic,28,0,7,101.78571428571429,2.2142857142857144,302,144,0.2857142857142857
Google Ads + Newsletter / promotion,27,0,5,7.407407407407407,0.5185185185185185,56,14,0.18518518518518517
duckduckgo / organic,27,0,4,79.48148148148148,2.7777777777777777,283,51,0.25925925925925924
ShareMyLesson Ads Campaign / Social Media,26,0,2,1.5384615384615385,0.3076923076923077,35,1,0.038461538461538464
Banner Ad / affiliate promotion,25,0,1,0,0.16,29,0,0
Social Media / influencer promotion,25,0,3,21.6,0.8,92,16,0.24
community.emf.org / referral,24,0,3,0,0.08333333333333333,47,0,0
mycourseville.com / referral,18,0,0,0,0.16666666666666666,19,0,0
out.smore.com / referral,17,0,1,31,0.47058823529411764,24,2,0.058823529411764705
Margreen (Social Media) / influencer promotion,16,0,1,0,0,20,0,0
chatgpt.com / (not set),15,0,0,3.6,0.6,21,4,0.13333333333333333
vercel.com / referral,15,0,5,6.266666666666667,0.7333333333333333,63,1,0.06666666666666667
l.messenger.com / referral,14,0,3,28.214285714285715,1.0714285714285714,45,19,0.2857142857142857
teams.microsoft.com / referral,14,0,5,55.42857142857143,1.3571428571428572,57,29,0.7142857142857143
baidu / organic,12,0,0,0,0,16,0,0
web.toddleapp.com / referral,12,0,2,1.4166666666666667,0.9166666666666666,24,1,0.08333333333333333
