# ----------------------------------------
# Events: Event name
# Account: Waste Hero 
# Property: Waste Hero 
# ----------------------------------------
# 
# All Users
# Start date: 20230101
# End date: 20260306
Event name,Session source/medium,Total users,Event count
file_view,google / cpc,5137,8538
file_view,(direct) / (none),3856,18255
file_view,google / organic,1100,5487
file_view,(Porvir) Social Media Posts / (Porvir) Social Media Posts,533,2110
file_view,(NEA) Ad Campaign / (NEA) Ad Campaign,528,1545
file_view,Porvir / email,332,1649
file_view,l.facebook.com / referral,228,1003
file_view,ShareMyLesson Campaign / ShareMyLesson Campaign,126,541
file_view,qr-codes.io / referral,120,198
file_view,bing / organic,117,1135
file_view,youtube.com / referral,100,586
file_view,NEA Ads / Social Media,97,257
file_view,lm.facebook.com / referral,63,127
file_view,Mariana Teran (Social Media) / influencer promotion,57,168
file_view,mail.google.com / referral,55,392
file_view,m.facebook.com / referral,54,116
file_view,l.instagram.com / referral,45,127
file_view,Gam Facebook / Gam Facebook,41,153
file_view,Gam Instagram / Gam Instagram,41,205
file_view,sustainability.indoramaventures.com / referral,39,208
file_view,yunus-thailand.org / referral,37,132
file_view,seameoseps.org / referral,29,149
file_view,(not set),23,105
file_view,napcor.com / referral,23,60
file_view,statics.teams.cdn.office.net / referral,22,765
file_view,nea.org / referral,20,130
file_view,(data not available),19,47
file_view,chatgpt.com / referral,19,72
file_view,linkedin.com / referral,19,48
file_view,yahoo / organic,18,492
file_view,BMA Campaign / BMA Campaign,13,62
file_view,Social Media / influencer promotion,13,35
file_view,IVL / promotion,12,26
file_view,Prof Yunus (Social Media) / influencer promotion,12,48
file_view,duckduckgo / organic,12,592
file_view,qr.page / referral,11,43
file_view,ecosia.org / organic,10,71
file_view,teams.microsoft.com / referral,10,29
file_view,instagram.com / referral,9,38
file_view,Google Ads + Newsletter / promotion,7,18
file_view,Facebook Ad / affiliate promotion,6,31
file_view,l.messenger.com / referral,6,21
file_view,ph.search.yahoo.com / referral,5,39
file_view,web.telegram.org / referral,5,31
file_view,LinkedIn / Content,4,12
file_view,Maria Lynn (Social Media) / influencer promotion,4,6
file_view,web.yammer.com / referral,4,11
file_view,ShareMyLesson Ads Campaign / Social Media,3,8
file_view,apis.mail.yahoo.com / referral,3,22
file_view,edgeservices.bing.com / referral,3,15
file_view,id.search.yahoo.com / referral,3,5
file_view,recyclecolorado.org / referral,3,5
file_view,sec-word-edit.officeapps.live.com / referral,3,35
file_view,tagassistant.google.com / referral,3,14
file_view,web.skype.com / referral,3,6
file_view,Brainfeed (Article) / Brainfeed (Article),2,21
file_view,Rappler (Ads) / Rappler (Ads),2,4
file_view,borareciclar.com.br / referral,2,10
file_view,canva.com / referral,2,3
file_view,chatgpt.com / (not set),2,4
file_view,gbc-word-edit.officeapps.live.com / referral,2,6
file_view,hs_email / email,2,11
file_view,ktb.org / referral,2,2
file_view,lnkd.in / referral,2,3
file_view,luma.com / referral,2,5
file_view,mx.search.yahoo.com / referral,2,10
file_view,tricityecology.org / referral,2,5
file_view,uk.search.yahoo.com / referral,2,4
file_view,vercel.com / referral,2,839
file_view,www-wasteheroeducation-com.translate.goog / referral,2,4
file_view,(NEA / (not set),1,3
file_view,GovDelivery / email,1,1
file_view,Mariana Teran / (not set),1,9
file_view,NEA Email Newsletter Ad / NEA Email Newsletter Ad,1,13
file_view,Porvir / (Porvir) Social Media Posts,1,1
file_view,ads.google.com / referral,1,1
file_view,aol / organic,1,2
file_view,app.planbook.com / referral,1,10
file_view,bic.moe.go.th / referral,1,2
file_view,chatgpt.com / organic,1,2
file_view,classroom.google.com / referral,1,12
file_view,cop.enneplusproject.eu / referral,1,10
file_view,ddec1-0-en-ctp.trendmicro.com / referral,1,1
file_view,dnserrorassist.att.net / referral,1,4
file_view,docs.google.com / referral,1,1
file_view,ead06.proj.ufsm.br / referral,1,1
file_view,ecf4clim.smartwatt.net / referral,1,5
file_view,eto.lightning.force.com / referral,1,1
file_view,euc-excel.officeapps.live.com / referral,1,2
file_view,fr.search.yahoo.com / referral,1,1
file_view,groups.google.com / referral,1,3
file_view,in.search.yahoo.com / referral,1,4
file_view,liblink.pl / referral,1,1
file_view,lms.lausd.net / referral,1,3
file_view,login.microsoftonline.com / referral,1,5
file_view,m.youtube.com / referral,1,1
file_view,mgronline.com / referral,1,1
file_view,mightytechy.com / referral,1,7
file_view,mikesnews.co.nz / referral,1,1
file_view,online.fliphtml5.com / referral,1,4
file_view,out.smore.com / referral,1,2
file_view,petalsearch.com / referral,1,21
file_view,pl.search.yahoo.com / referral,1,3
file_view,search-dra.dt.dbankcloud.com / referral,1,21
file_view,search.app / referral,1,2
file_view,sg.search.yahoo.com / referral,1,4
file_view,sharemylesson.com / referral,1,5
file_view,teachercourse2023.education.gov.il / referral,1,16
file_view,techsauce.co / referral,1,2
file_view,ukc-word-edit.officeapps.live.com / referral,1,1
file_view,us.search.yahoo.com / referral,1,3
file_view,vn.search.yahoo.com / referral,1,3
file_view,web.toddleapp.com / referral,1,1
file_view,yandex.com.tr / referral,1,7
file_view,youthentrepreneurs.lightning.force.com / referral,1,5
file_view,zalo / zalo,1,3
