# ----------------------------------------
# Events: Event name
# Account: Waste Hero 
# Property: Waste Hero 
# ----------------------------------------
# 
# All Users
# Start date: 20230101
# End date: 20260306
Event name,Session source/medium,Total users,Event count
user_engagement,google / cpc,226907,255043
user_engagement,(direct) / (none),16776,27140
user_engagement,l.facebook.com / referral,7975,13760
user_engagement,(data not available),3317,4152
user_engagement,google / organic,2634,4266
user_engagement,m.facebook.com / referral,1391,1821
user_engagement,(NEA) Ad Campaign / (NEA) Ad Campaign,1291,1581
user_engagement,(Porvir) Social Media Posts / (Porvir) Social Media Posts,827,1073
user_engagement,NEA Ads / Social Media,701,832
user_engagement,(not set),684,761
user_engagement,leadsgo.io / referral,508,508
user_engagement,Porvir / email,498,618
user_engagement,ShareMyLesson Campaign / ShareMyLesson Campaign,366,501
user_engagement,bing / organic,350,550
user_engagement,lm.facebook.com / referral,300,584
user_engagement,Mariana Teran (Social Media) / influencer promotion,296,344
user_engagement,youtube.com / referral,263,390
user_engagement,instagram.com / referral,183,423
user_engagement,qr-codes.io / referral,176,188
user_engagement,yunus-thailand.org / referral,134,195
user_engagement,Gam Facebook / Gam Facebook,127,192
user_engagement,seameoseps.org / referral,109,140
user_engagement,sustainability.indoramaventures.com / referral,105,134
user_engagement,mail.google.com / referral,94,147
user_engagement,l.instagram.com / referral,84,215
user_engagement,Gam Instagram / Gam Instagram,82,110
user_engagement,facebook.com / referral,71,99
user_engagement,statics.teams.cdn.office.net / referral,69,124
user_engagement,Maria Lynn (Social Media) / influencer promotion,67,122
user_engagement,Facebook Ad / affiliate promotion,63,74
user_engagement,napcor.com / referral,52,58
user_engagement,Rappler (Ads) / Rappler (Ads),49,51
user_engagement,linkedin.com / referral,47,92
user_engagement,qr.page / referral,44,68
user_engagement,hs_email / email,39,63
user_engagement,yahoo / organic,38,133
user_engagement,chatgpt.com / referral,37,52
user_engagement,IVL / promotion,32,77
user_engagement,LinkedIn / Content,31,41
user_engagement,nea.org / referral,31,40
user_engagement,event.on24.com / referral,27,29
user_engagement,duckduckgo / organic,25,186
user_engagement,ecosia.org / organic,24,41
