# ----------------------------------------
# Events: Event name
# Account: Waste Hero 
# Property: Waste Hero 
# ----------------------------------------
# 
# All Users
# Start date: 20230101
# End date: 20260306
Event name,Session source/medium,Total users,Event count
page_view,google / cpc,594926,844086
page_view,(direct) / (none),67365,157359
page_view,l.facebook.com / referral,59807,111940
page_view,m.facebook.com / referral,14817,23777
page_view,(data not available),10144,20603
page_view,(Porvir) Social Media Posts / (Porvir) Social Media Posts,9196,10640
page_view,google / organic,5259,9908
page_view,ShareMyLesson Campaign / ShareMyLesson Campaign,3937,4573
page_view,(NEA) Ad Campaign / (NEA) Ad Campaign,3628,5217
page_view,(not set),2152,27743
page_view,lm.facebook.com / referral,1942,2588
page_view,NEA Ads / Social Media,1694,2508
page_view,Porvir / email,835,1274
page_view,youtube.com / referral,627,1188
page_view,qr-codes.io / referral,626,1082
page_view,instagram.com / referral,616,1231
page_view,Mariana Teran (Social Media) / influencer promotion,583,849
page_view,leadsgo.io / referral,508,1016
page_view,bing / organic,421,875
page_view,l.instagram.com / referral,332,679
page_view,Gam Facebook / Gam Facebook,251,389
page_view,Maria Lynn (Social Media) / influencer promotion,202,404
page_view,LinkedIn / Content,193,213
page_view,hs_email / email,179,246
page_view,yunus-thailand.org / referral,176,334
page_view,Facebook Ad / affiliate promotion,173,205
page_view,facebook.com / referral,165,221
page_view,qr.page / referral,157,318
page_view,Gam Instagram / Gam Instagram,156,273
page_view,sustainability.indoramaventures.com / referral,151,226
page_view,seameoseps.org / referral,150,223
page_view,Rappler (Ads) / Rappler (Ads),134,151
page_view,mail.google.com / referral,131,334
page_view,linkedin.com / referral,125,237
page_view,IVL / promotion,107,281
page_view,statics.teams.cdn.office.net / referral,87,202
page_view,Prof Yunus (Social Media) / influencer promotion,71,124
page_view,napcor.com / referral,70,88
page_view,yahoo / organic,52,275
page_view,MPU / affiliate promotion,50,63
page_view,chatgpt.com / referral,50,83
page_view,nea.org / referral,44,68
page_view,BMA Campaign / BMA Campaign,38,101
page_view,event.on24.com / referral,36,45
page_view,duckduckgo / organic,33,267
page_view,Google Ads + Newsletter / promotion,30,62
page_view,ShareMyLesson Ads Campaign / Social Media,30,51
page_view,ecosia.org / organic,30,72
page_view,Banner Ad / affiliate promotion,27,56
page_view,community.emf.org / referral,27,53
page_view,Social Media / influencer promotion,25,56
page_view,vercel.com / referral,19,379
page_view,Margreen (Social Media) / influencer promotion,18,32
page_view,mycourseville.com / referral,18,19
page_view,out.smore.com / referral,17,22
page_view,chatgpt.com / (not set),15,17
page_view,l.messenger.com / referral,15,25
page_view,teams.microsoft.com / referral,14,28
page_view,lnkd.in / referral,13,21
page_view,baidu / organic,12,16
page_view,web.toddleapp.com / referral,12,23
page_view,AFB Bef / Fbdvby Zfevb,10,10
page_view,DMPU / affiliate promotion,10,11
page_view,conversation_mailer / email,10,30
page_view,esp / Email,10,13
page_view,googleads.g.doubleclick.net / referral,10,11
page_view,ph.search.yahoo.com / referral,10,39
page_view,recyclecolorado.org / referral,10,15
page_view,bic.moe.go.th / referral,9,35
page_view,id.search.yahoo.com / referral,9,31
page_view,web.yammer.com / referral,9,16
page_view,zalo / zalo,9,12
page_view,apis.mail.yahoo.com / referral,8,8
page_view,get-qr.com / referral,8,10
page_view,l.workplace.com / referral,8,41
page_view,adclick.g.doubleclick.net / referral,7,7
page_view,m.youtube.com / referral,7,8
page_view,tagassistant.google.com / referral,7,111
page_view,Brainfeed (Article) / Brainfeed (Article),6,15
page_view,canva.com / referral,6,22
page_view,cn.bing.com / referral,6,6
page_view,gbc-word-edit.officeapps.live.com / referral,6,7
page_view,localhost:3000 / referral,6,20
page_view,me-qr.com / referral,6,54
page_view,mgronline.com / referral,6,27
page_view,web.telegram.org / referral,6,19
page_view,Gulo (Campaign) / Gulo (Campaign),5,9
page_view,engage.cloud.microsoft / referral,5,6
page_view,luma.com / referral,5,13
