# ----------------------------------------
# Events: Event name
# Account: Waste Hero 
# Property: Waste Hero 
# ----------------------------------------
# 
# All Users
# Start date: 20230101
# End date: 20260306
Event name,Country,Total users,Event count
file_view,Philippines,4864,12593
file_view,United States,2756,10615
file_view,India,1318,2868
file_view,Brazil,1038,4307
file_view,Indonesia,474,2192
file_view,Thailand,460,3415
file_view,Malaysia,317,1844
file_view,Mexico,230,978
file_view,Myanmar (Burma),135,1049
file_view,Cambodia,98,650
file_view,South Africa,76,141
file_view,United Kingdom,72,255
file_view,Laos,69,309
file_view,Canada,67,208
file_view,Germany,63,216
file_view,Vietnam,56,312
file_view,Spain,53,261
file_view,Bangladesh,47,353
file_view,Brunei,44,220
file_view,Colombia,40,169
file_view,Singapore,40,1443
file_view,Australia,39,155
file_view,France,38,89
file_view,New Zealand,38,92
file_view,Portugal,30,112
file_view,Bhutan,28,152
file_view,Hungary,26,120
file_view,Italy,26,87
file_view,Poland,25,103
file_view,Luxembourg,21,46
file_view,Israel,20,88
file_view,Peru,20,71
file_view,Netherlands,19,50
file_view,Pakistan,18,92
file_view,Argentina,16,56
file_view,Ireland,14,79
file_view,Qatar,14,77
file_view,Greece,13,55
file_view,South Korea,11,38
file_view,Türkiye,11,57
file_view,Nigeria,10,50
file_view,Saudi Arabia,10,43
file_view,Ecuador,9,53
file_view,Nepal,9,37
file_view,Romania,9,48
file_view,Chile,8,18
file_view,Japan,8,23
file_view,Belgium,7,20
file_view,Costa Rica,7,86
file_view,Czechia,7,32
file_view,Finland,7,51
file_view,Panama,7,31
file_view,Sweden,7,43
file_view,Switzerland,7,21
file_view,Timor-Leste,7,88
file_view,United Arab Emirates,7,14
file_view,Austria,6,30
file_view,China,6,14
file_view,Hong Kong,6,13
file_view,Iran,5,31
file_view,Kenya,5,7
file_view,Bahrain,4,35
file_view,Bolivia,4,17
file_view,Egypt,4,12
file_view,Algeria,3,7
file_view,Guatemala,3,6
file_view,Lithuania,3,11
file_view,Norway,3,3
file_view,Slovakia,3,20
file_view,Taiwan,3,17
file_view,Angola,2,50
file_view,Bulgaria,2,5
file_view,Croatia,2,16
file_view,Dominican Republic,2,17
file_view,Jamaica,2,10
file_view,Kazakhstan,2,5
file_view,Paraguay,2,4
file_view,Slovenia,2,18
file_view,Uganda,2,5
file_view,(not set),1,8
file_view,Afghanistan,1,1
file_view,Albania,1,3
file_view,American Samoa,1,1
file_view,Armenia,1,9
file_view,Belarus,1,5
file_view,Cameroon,1,1
file_view,Cook Islands,1,1
file_view,Cyprus,1,3
file_view,Denmark,1,1
file_view,Eswatini,1,1
file_view,Ethiopia,1,5
file_view,Fiji,1,1
file_view,Georgia,1,1
file_view,Ghana,1,1
file_view,Guinea,1,6
file_view,Kosovo,1,2
file_view,Kuwait,1,1
file_view,Latvia,1,1
file_view,Lebanon,1,1
file_view,Malta,1,28
file_view,Mauritius,1,3
file_view,Moldova,1,3
file_view,Mongolia,1,2
file_view,Montenegro,1,16
file_view,Morocco,1,1
file_view,Namibia,1,9
file_view,Nicaragua,1,1
file_view,Niger,1,2
file_view,Palestine,1,1
file_view,Sint Maarten,1,1
file_view,Sri Lanka,1,1
file_view,Tunisia,1,1
file_view,Uruguay,1,3
file_view,Vanuatu,1,2
file_view,Venezuela,1,5
file_view,Zambia,1,2
file_view,Zimbabwe,1,3
