Date,Content,Video title,Video publish time,Duration,Engaged views
2023-03-08, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-03-09, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-03-10, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-03-11, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-03-12, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-03-13, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-03-14, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-03-15, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-03-16, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-03-17, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-03-18, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-03-19, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-03-20, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-03-21, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-03-22, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-03-23, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-03-24, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-03-25, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-03-26, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-03-27, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-03-28, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-03-29, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-03-30, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-03-31, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-04-01, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-04-02, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-04-03, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-04-04, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-04-05, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-04-06, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-04-07, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-04-08, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-04-09, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-04-10, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-04-11, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-04-12, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-04-13, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-04-14, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-04-15, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-04-16, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-04-17, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-04-18, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-04-19, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-04-20, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-04-21, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-04-22, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-04-23, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-04-24, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-04-25, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,2
2023-04-26, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-04-27, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-04-28, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-04-29, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-04-30, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-05-01, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-05-02, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-05-03, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-05-04, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-05-05, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-05-06, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-05-07, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-05-08, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-05-09, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-05-10, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-05-11, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-05-12, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,3
2023-05-13, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-05-14, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-05-15, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-05-16, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-05-17, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,1
2023-05-18, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,1
2023-05-19, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-05-20, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-05-21, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-05-22, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-05-23, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-05-24, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,11
2023-05-25, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-05-26, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,1
2023-05-27, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-05-28, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-05-29, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-05-30, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
2023-05-31, -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,"Apr 24, 2023",51,0
