Content,Video title,Video publish time,Duration,Engaged views,Average view duration,Average percentage viewed (%),Unique viewers,Average views per viewer,New viewers,Returning viewers,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,,2300071,0:01:10,41.43,0,0,0,0,3223155,48029.2628,172,27329,3.66
 -MJHhPKLX0E,Waste Hero - Free Zero Waste Lesson Plans,24-Apr-23,51,1307033,0:00:45,88.28,,,,,1307033,16345.4263,108,5924,5.35
w8GxkFvTPXY,What is Waste Hero Education?,25-Jul-25,82,691690,0:00:51,62.82,,,,,1432562,12019.1067,0,279,2.87
9Q4xPCkGLyg,Waste Hero Education : Circular Economy,7-Aug-25,1015,245410,0:04:10,24.64,,,,,390937,17548.797,0,2067,4.06
x4-bTDYXdhQ,Waste Hero Education : What is recycling,7-Aug-25,428,26583,0:02:38,36.96,,,,,41924,1217.2046,0,931,2.36
4uD5WaQoDac,Waste Hero Education : Why we should Recycle?,7-Aug-25,608,15395,0:02:58,29.29,,,,,28782,803.4311,0,786,2.16
cL9nb1nrFhw,You can be a Waste Hero now! Start recycling today!,27-May-25,11,6768,0:00:13,126.31,,,,,13053,27.2069,2,5978,0.74
OFPab8pJiVo,Waste Hero - Free Zero Waste Lesson Plans,25-Jul-25,51,2165,0:00:34,67.34,,,,,2537,21.6882,0,214,8.88
ZEnrW63VFmE,What is Waste Hero Education?,9-Mar-23,82,1969,0:00:39,48.33,,,,,1969,21.6758,16,1416,9.32
tkmfPFDX5bk,Quiz time! 🧠💡 Let’s see how much you know about recycling!,28-Mar-25,26,1171,0:00:22,84.78,,,,,1208,7.1789,0,749,3.34
7dbjAOmKWxo,Quiz time! 🧠💡 TRUE or FALSE: Waste Leakage,12-Jun-25,41,497,0:00:32,80.17,,,,,575,4.5587,0,325,3.38
b7Q0ekYHAn0,Need school lessons? Visit our website!,20-Jun-25,13,416,0:00:10,77.26,,,,,822,1.4108,0,382,0.52
OIlkNd5gvbs,1) Why Waste Hero Education?,1-Sep-23,117,241,0:00:55,47.26,,,,,241,3.7016,3,1546,4.59
w_uC2HaKIbg,2) What is Included in Waste Hero Education?,1-Sep-23,97,152,0:00:49,51.12,,,,,152,2.0937,1,878,4.56
mgwAg5iAm-M,3) How do I access and use Waste Hero Education?,1-Sep-23,107,114,0:00:51,48.34,,,,,114,1.6378,3,608,5.76
OByZHFC6aJk,Join Waste Fiction Competition Today!,7-Oct-25,34,86,0:00:30,88.98,,,,,414,1.3953,0,65,3.08
tHT6UKyZ6pA,Quiz time! 🧠💡  Do you know how long does nuclear waste last?,18-Jun-25,26,43,0:00:12,46.31,,,,,195,0.194,0,258,0
AZ7jiOfvD5k,Voices From the Classroom: Robert,11-Jul-23,122,31,0:00:32,26.89,,,,,31,0.2825,1,421,4.04
EGtfYd-Bt4Q,1) Why Waste Hero Education?,25-Jul-25,117,24,0:00:41,35.86,,,,,24,0.2797,0,202,3.96
STCrChUJo7A,Voices From the Classroom: Anuwat,11-Jul-23,91,23,0:00:48,53.81,,,,,23,0.3128,0,217,3.23
mc_V13LtSzc,Voices From the Classroom: Suji,11-Jul-23,56,20,0:00:26,48.1,,,,,20,0.1496,0,316,2.85
cVcgacs9Z1g,Voices From the Classroom: Julie,11-Jul-23,83,17,0:00:21,26.38,,,,,17,0.1034,0,290,2.76
kn2UlyEpZcA,Quiz time! 🧠💡 Recycling Facts! Comment your score below!,16-May-25,34,17,0:00:18,55.34,,,,,130,0.121,0,208,2.4
P1yhHI90YUM,Voices From the Classroom: Yanniz,11-Jul-23,26,16,0:00:10,39.89,,,,,16,0.0461,0,197,3.55
mM5At6YY27I,Voices From the Classroom: Jon,11-Jul-23,122,15,0:00:43,35.72,,,,,15,0.1816,0,254,3.54
C_nZys2DSrg,Voices From the Classroom: Mi Mi,11-Jul-23,57,14,0:00:23,40.64,,,,,14,0.0901,0,215,4.65
5QGvmZVuRww,Quiz time! 🧠💡  Do you know these recycling facts?,10-Jul-25,26,11,0:00:19,74.81,,,,,54,0.0738,0,394,1.52
WXk9R1IojK8,2) What is Included in Waste Hero Education?,25-Jul-25,97,11,0:00:33,34.66,,,,,11,0.1027,0,126,3.17
BCLzbgjULmk,Circular economy does not apply to only products!,14-Jul-25,15,9,0:00:10,67.53,,,,,81,0.0491,0,347,0.58
jGgJIeCJXks,Voices From the Classroom: Thitipon,26-Nov-24,121,8,0:00:07,6.08,,,,,8,0.0164,0,160,3.75
SIu-fPGxwxY,Why should you join Waste Fiction Competition!,7-Oct-25,62,6,0:00:15,25.01,,,,,6,0.0258,0,65,9.23
kQOIIX14A_c,3) How do I access and use Waste Hero Education?,25-Jul-25,107,4,0:00:56,52.75,,,,,4,0.0627,0,79,2.53
