Date,Engaged views
2023-03-08,0
2023-03-09,0
2023-03-10,0
2023-03-11,1
2023-03-12,6
2023-03-13,3
2023-03-14,4
2023-03-15,0
2023-03-16,0
2023-03-17,2
2023-03-18,0
2023-03-19,1
2023-03-20,1
2023-03-21,6
2023-03-22,0
2023-03-23,1
2023-03-24,6
2023-03-25,1
2023-03-26,8
2023-03-27,3
2023-03-28,20
2023-03-29,6
2023-03-30,2
2023-03-31,4
2023-04-01,0
2023-04-02,0
2023-04-03,6
2023-04-04,5
2023-04-05,16
2023-04-06,17
2023-04-07,6
2023-04-08,12
2023-04-09,10
2023-04-10,15
2023-04-11,15
2023-04-12,10
2023-04-13,7
2023-04-14,3
2023-04-15,0
2023-04-16,0
2023-04-17,15
2023-04-18,14
2023-04-19,14
2023-04-20,16
2023-04-21,15
2023-04-22,14
2023-04-23,10
2023-04-24,15
2023-04-25,9
2023-04-26,11
2023-04-27,12
2023-04-28,18
2023-04-29,11
2023-04-30,8
2023-05-01,2
2023-05-02,8
2023-05-03,5
2023-05-04,14
2023-05-05,7
2023-05-06,5
2023-05-07,8
2023-05-08,9
2023-05-09,10
2023-05-10,12
2023-05-11,4
2023-05-12,9
2023-05-13,6
2023-05-14,3
2023-05-15,9
2023-05-16,8
2023-05-17,10
2023-05-18,3
2023-05-19,2
2023-05-20,0
2023-05-21,1
2023-05-22,0
2023-05-23,0
2023-05-24,32
2023-05-25,15
2023-05-26,16
2023-05-27,18
2023-05-28,18
2023-05-29,14
2023-05-30,14
2023-05-31,20
2023-06-01,27
2023-06-02,20
2023-06-03,22
2023-06-04,20
2023-06-05,24
2023-06-06,7
2023-06-07,8
2023-06-08,1
2023-06-09,0
2023-06-10,1
2023-06-11,0
2023-06-12,3
2023-06-13,3
2023-06-14,1
2023-06-15,5
2023-06-16,1
2023-06-17,0
2023-06-18,2
2023-06-19,4
2023-06-20,4
2023-06-21,8
2023-06-22,2
2023-06-23,3
2023-06-24,0
2023-06-25,1
2023-06-26,4
2023-06-27,0
2023-06-28,2
2023-06-29,1
2023-06-30,1
2023-07-01,1
2023-07-02,1
2023-07-03,1
2023-07-04,0
2023-07-05,0
2023-07-06,7
2023-07-07,10
2023-07-08,3
2023-07-09,2
2023-07-10,8
2023-07-11,6
2023-07-12,5
2023-07-13,1
2023-07-14,11
2023-07-15,1
2023-07-16,9
2023-07-17,8
2023-07-18,22
2023-07-19,18
2023-07-20,10
2023-07-21,9
2023-07-22,22
2023-07-23,8
2023-07-24,6
2023-07-25,1
2023-07-26,2
2023-07-27,13
2023-07-28,3
2023-07-29,1
2023-07-30,4
2023-07-31,0
2023-08-01,6
2023-08-02,16
2023-08-03,14
2023-08-04,11
2023-08-05,15
2023-08-06,17
2023-08-07,17
2023-08-08,14
2023-08-09,12
2023-08-10,13
2023-08-11,8
2023-08-12,13
2023-08-13,3
2023-08-14,10
2023-08-15,27
2023-08-16,25
2023-08-17,33
2023-08-18,32
2023-08-19,35
2023-08-20,19
2023-08-21,19
2023-08-22,16
2023-08-23,24
2023-08-24,19
2023-08-25,13
2023-08-26,22
2023-08-27,19
2023-08-28,21
2023-08-29,15
2023-08-30,18
2023-08-31,24
2023-09-01,73
2023-09-02,73
2023-09-03,25
2023-09-04,11
2023-09-05,9
2023-09-06,23
2023-09-07,22
2023-09-08,40
2023-09-09,20
2023-09-10,42
2023-09-11,32
2023-09-12,35
2023-09-13,5
2023-09-14,6
2023-09-15,17
2023-09-16,2
2023-09-17,4
2023-09-18,15
2023-09-19,1
2023-09-20,24
2023-09-21,2
2023-09-22,3
2023-09-23,1
2023-09-24,3
2023-09-25,4
2023-09-26,18
2023-09-27,1
2023-09-28,1
2023-09-29,0
2023-09-30,3
2023-10-01,4
2023-10-02,3
2023-10-03,5
2023-10-04,30037
2023-10-05,11
2023-10-06,51810
2023-10-07,37564
2023-10-08,44355
2023-10-09,41217
2023-10-10,41777
2023-10-11,41972
2023-10-12,40680
2023-10-13,42520
2023-10-14,49800
2023-10-15,49209
2023-10-16,48100
2023-10-17,48532
2023-10-18,49825
2023-10-19,43320
2023-10-20,37122
2023-10-21,39975
2023-10-22,34140
2023-10-23,32342
2023-10-24,35058
2023-10-25,35759
2023-10-26,31627
2023-10-27,30025
2023-10-28,30003
2023-10-29,29101
2023-10-30,27116
2023-10-31,2
2023-11-01,8
2023-11-02,2
2023-11-03,1
2023-11-04,1
2023-11-05,1
2023-11-06,3
2023-11-07,1
2023-11-08,13
2023-11-09,5
2023-11-10,0
2023-11-11,0
2023-11-12,1
2023-11-13,9
2023-11-14,0
2023-11-15,4
2023-11-16,2
2023-11-17,0
2023-11-18,0
2023-11-19,3
2023-11-20,1
2023-11-21,2
2023-11-22,1
2023-11-23,0
2023-11-24,1
2023-11-25,0
2023-11-26,2
2023-11-27,3
2023-11-28,3
2023-11-29,0
2023-11-30,1
2023-12-01,2
2023-12-02,1
2023-12-03,0
2023-12-04,4
2023-12-05,0
2023-12-06,0
2023-12-07,1
2023-12-08,4
2023-12-09,0
2023-12-10,6
2023-12-11,7
2023-12-12,4
2023-12-13,4
2023-12-14,1
2023-12-15,0
2023-12-16,0
2023-12-17,0
2023-12-18,1
2023-12-19,1
2023-12-20,0
2023-12-21,0
2023-12-22,0
2023-12-23,0
2023-12-24,1
2023-12-25,2
2023-12-26,0
2023-12-27,1
2023-12-28,0
2023-12-29,0
2023-12-30,0
2023-12-31,1
2024-01-01,0
2024-01-02,6
2024-01-03,0
2024-01-04,0
2024-01-05,0
2024-01-06,0
2024-01-07,0
2024-01-08,0
2024-01-09,1
2024-01-10,19
2024-01-11,3
2024-01-12,0
2024-01-13,0
2024-01-14,0
2024-01-15,24578
2024-01-16,25695
2024-01-17,25984
2024-01-18,26264
2024-01-19,1
2024-01-20,0
2024-01-21,1
2024-01-22,3
2024-01-23,5520
2024-01-24,12750
2024-01-25,23810
2024-01-26,21011
2024-01-27,26472
2024-01-28,26680
2024-01-29,24971
2024-01-30,24505
2024-01-31,12
2024-02-01,3
2024-02-02,6
2024-02-03,1
2024-02-04,5
2024-02-05,5
2024-02-06,3
2024-02-07,4
2024-02-08,4
2024-02-09,1
2024-02-10,0
2024-02-11,1
